0,-142,141,174
1,-137,116,174
2,-139,128,137
3,-130,107,177
4,-147,131,124
5,-151,146,140
6,-157,142,125
7,-166,153,142
8,-200,170,147
9,-247,194,182
10,-304,218,144
11,-256,257,139
12,-197,221,132
13,-48,136,184
14,-14,63,181
15,-63,41,136
16,-117,42,100
17,-102,170,114
18,-93,233,134
19,-64,288,137
20,-55,250,112
21,-76,154,68
22,-93,99,75
23,-112,38,78
24,-165,-23,86
25,-250,-92,29
26,-283,-26,90
27,-302,-35,-6
28,-328,32,96
29,-307,68,80
30,-264,112,192
31,-187,263,227
32,-134,259,193
33,-79,288,133
34,-64,294,127
35,-58,280,188
36,-100,222,129
37,-110,131,151
38,-145,22,97
39,-147,-15,79
40,-157,-45,82
41,-165,-51,65
42,-200,-73,46
43,-216,-24,86
44,-254,-24,70
45,-265,89,134
46,-293,29,150
47,-254,156,242
48,-202,155,262
49,-188,10,114
50,-58,266,320
51,-125,90,162
52,-113,138,193
53,-144,105,135
54,-138,127,172
55,-154,77,178
56,-158,91,166
57,-161,83,174
58,-158,81,173
59,-158,80,173
