0,-2,206,117
1,4,197,152
2,-5,194,104
3,-10,194,132
4,-6,189,154
5,-3,216,160
6,1,223,145
7,1,234,161
8,-2,275,147
9,0,291,145
10,0,299,177
11,-3,233,176
12,-17,183,173
13,-18,178,153
14,-30,126,140
15,-36,167,132
16,-36,152,126
17,-38,150,140
18,-45,147,150
19,-47,138,141
20,-36,140,138
21,-26,142,106
22,12,126,129
23,11,148,152
24,9,143,140
25,-34,175,115
26,-41,195,152
27,-46,213,190
28,-77,258,155
29,-60,316,201
30,-39,333,207
31,-43,302,180
32,-44,291,187
33,-29,339,142
34,-19,278,134
35,-34,228,132
36,-23,134,155
37,-15,135,112
38,-31,95,116
39,-32,64,153
40,-24,120,122
41,-17,128,134
42,-2,155,147
43,17,130,163
44,16,128,169
45,-1,128,135
46,11,140,129
47,-14,144,134
48,-45,196,203
49,-91,228,137
50,-153,213,228
51,-159,241,191
52,-130,197,247
53,-97,200,244
54,-88,152,201
55,-80,153,190
56,-72,146,174
57,-72,145,169
58,-66,146,180
59,-65,156,173
