0,0,4,241
1,0,0,242
2,0,-1,244
3,-12,-11,247
4,2,0,242
5,0,0,240
6,-24,18,240
7,-22,-5,242
8,-22,-8,242
9,-43,-20,241
10,-13,-20,243
11,-14,-24,241
12,13,-15,242
13,17,-17,240
14,10,-4,240
15,20,-14,241
16,11,-16,240
17,9,-6,242
18,1,-21,241
19,12,-1,241
20,14,-6,241
21,17,-5,242
22,17,-5,243
23,13,-4,241
24,13,13,241
25,18,37,242
26,22,14,245
27,18,15,241
28,12,13,243
29,11,22,241
30,9,11,242
31,2,17,242
32,2,26,240
33,1,26,240
34,3,32,241
35,-5,25,242
36,-23,20,240
37,-23,16,241
38,-29,15,243
39,-25,2,241
40,-24,-10,238
41,-24,-1,242
42,-21,-2,243
43,-13,-5,240
44,-22,-10,243
45,-21,-5,241
46,-26,-11,242
47,-13,-18,242
48,-7,-32,243
49,-2,-22,241
50,7,-28,241
51,21,-17,243
52,25,-20,243
53,22,-10,242
54,40,-6,243
55,31,-5,242
56,0,0,242
57,1,0,243
58,0,-1,242
59,1,0,241
